company_id,company_name
1,EXPERIAN INFORMATION SOLUTIONS INC.
2,CAPITAL ONE FINANCIAL CORPORATION
3,"EQUIFAX, INC."
4,"NAVIENT SOLUTIONS, LLC."
5,WELLS FARGO & COMPANY
6,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
7,ENCORE CAPITAL GROUP INC.
8,DISCOVER BANK
9,"CITIBANK, N.A."
10,MOHELA
11,NETSPEND CORPORATION
12,JPMORGAN CHASE & CO.
13,PNC BANK N.A.
14,"NATIONAL CREDIT ADJUSTERS, LLC"
15,SYNCHRONY FINANCIAL
16,"BANK OF AMERICA, NATIONAL ASSOCIATION"
17,"NATIONAL CREDIT SYSTEMS,INC."
18,"CAINE & WEINER COMPANY, INC."
19,TD BANK US HOLDING COMPANY
20,NELSON CRUZ & ASSOCIATES LLC
21,NEW YORK COMMUNITY BANCORP INC
22,"SCA COLLECTIONS, INC."
23,RESURGENT CAPITAL SERVICES L.P.
24,"MCNEIL & MEYERS ASSET MANAGEMENT GROUP, LLC"
25,"BLOCK, INC."
26,"SELECT PORTFOLIO SERVICING, INC."
27,"MARINER FINANCE, LLC"
28,LEXISNEXIS
29,FREEDOM FINANCIAL NETWORK
30,AD ASTRA RECOVERY SERVICES INC
31,"APPLIED BUSINESS SERVICES, INC."
32,UNITED PANAM FINANCIAL CORP.
33,"LOANCARE, LLC"
34,AMERICAN EXPRESS COMPANY
35,RUSHMORE LOAN MANAGEMENT SERVICES LLC
36,"FRANKLIN COLLECTION SERVICE, INC."
37,U.S. BANCORP
38,"CALIBER HOME LOANS, INC."
39,"DIVERSIFIED ADJUSTMENT SERVICE, INC."
40,COMERICA
41,"NELNET, INC."
42,SELENE FINANCE LP
43,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION"
44,"I.Q. DATA INTERNATIONAL, INC."
45,"SANTANDER BANK, NATIONAL ASSOCIATION"
46,NAVY FEDERAL CREDIT UNION
47,TCF NATIONAL BANK
48,"COMMONWEALTH FINANCIAL SYSTEMS, INC."
49,TOYOTA MOTOR CREDIT CORPORATION
50,SYNOVUS BANK
51,OCWEN FINANCIAL CORPORATION
52,PHOENIX FINANCIAL SERVICES LLC
53,"CARRINGTON MORTGAGE SERVICES, LLC"
54,THE LAW OFFICES OF MITCHELL D. BLUHM & ASSOCIATES
55,"I.C. SYSTEM, INC."
56,"CMRE FINANCIAL SERVICES, INC."
57,"SAMC HONEBEE TRS, LLC"
58,"FACTORTRUST, INC."
59,CURO INTERMEDIATE HOLDINGS
60,"SUNTRUST BANKS, INC."
61,IMPERIAL FINANCE CORP
62,"BEPENSA CAPITAL, INC."
63,BARCLAYS BANK DELAWARE
64,"CONSUMER PORTFOLIO SERVICES, INC."
65,"SHELLPOINT PARTNERS, LLC"
66,FIRST CREDIT SERVICES INC.
67,ROUNDPOINT MORTGAGE SERVICING LLC
68,"CROWN ASSET MANAGEMENT, LLC, DULUTH, GA BRANCH"
69,AFNI INC.
70,ALLY FINANCIAL INC.
71,"NET PAY ADVANCE, INC."
72,"FIDELITY NATIONAL INFORMATION SERVICES, INC. (FNIS)"
73,UNITED GROUP INC.
74,"CONVERGENT RESOURCES, INC."
75,"CAPITAL ACCOUNTS, LLC"
76,AWAR HOLDING INC.
77,CREDIT ACCEPTANCE CORPORATION
78,SANTANDER CONSUMER USA HOLDINGS INC.
79,AMERICAN CORADIUS INTERNATIONAL LLC
80,MR. COOPER GROUP INC.
81,"WESTERN UNION COMPANY, THE"
82,"PROCOLLECT, INC."
83,"CCS FINANCIAL SERVICES, INC."
84,"MID-SOUTH ADJUSTMENT CO., INC."
85,BARTON CREEK AUTO CREDIT  LLC
86,"COINBASE, INC."
87,"ID ANALYTICS, INC."
88,SPECIALIZED LOAN SERVICING HOLDINGS LLC
89,HCFS HEALTHCARE FINANCIAL SERVICES OF TEAMHEALTH
90,REGIONS FINANCIAL CORPORATION
91,MECHANICS BANK
92,FIFTH THIRD FINANCIAL CORPORATION
93,AMERICAN HONDA FINANCE CORP
94,FINANCIAL DATA SYSTEMS
95,"BREAD FINANCIAL HOLDINGS, INC."
96,"CITIZENS FINANCIAL GROUP, INC."
97,SLM CORPORATION
98,"WAYPOINT RESOURCE GROUP, LLC"
99,COLORADO HOUSING AND FINANCE AUTHORITY
100,BRIDGECREST ACCEPTANCE CORPORATION
101,CORELOGIC INC
102,"PORTFOLIO RECOVERY ASSOCIATES, LLC"
103,"JH PORTFOLIO DEBT EQUITIES, LLC"
104,DITECH FINANCIAL LLC
105,PENN CREDIT CORPORATION
106,"PARAMOUNT RECOVERY SYSTEMS, L.P."
107,"EOS HOLDINGS, INC."
